name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Harrison Barnes","Golden State Warriors",2015-10-30,2015,6578,1610612744,400827917,3,0,33,0,"Pullup Jump shot","3PT Field Goal",24,"Houston Rockets",191,159,0,0.60,"Howard, Dwight",9.90,17.80
"James Michael McAdoo","Golden State Warriors",2016-03-16,2015,2594818,1610612744,400828898,4,1,09,1,"Pullup Jump shot","3PT Field Goal",27,"New York Knicks",-212,169,0,0.00,,0.00,0.00
"Harrison Barnes","Golden State Warriors",2016-01-31,2015,6578,1610612744,400828605,1,8,55,1,"Pullup Jump shot","2PT Field Goal",13,"New York Knicks",-81,105,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-04-03,2015,3975,1610612744,400829039,2,3,17,0,"Pullup Jump shot","3PT Field Goal",29,"Portland Trail Blazers",-58,293,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2016-02-20,2015,6475,1610612744,400828709,1,11,27,1,"Pullup Jump shot","2PT Field Goal",12,"Los Angeles Clippers",-2,120,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2015-11-02,2015,6475,1610612744,400827938,3,4,10,0,"Pullup Jump shot","2PT Field Goal",17,"Memphis Grizzlies",33,174,2,1.20,"Barnes, Matt",6.30,14.90
"Stephen Curry","Golden State Warriors",2016-01-25,2015,3975,1610612744,400828562,1,1,31,1,"Pullup Jump shot","3PT Field Goal",22,"San Antonio Spurs",227,33,0,0.00,,0.00,0.00
"Harrison Barnes","Golden State Warriors",2016-04-03,2015,6578,1610612744,400829039,2,2,04,1,"Pullup Jump shot","3PT Field Goal",25,"Portland Trail Blazers",-176,178,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2015-11-17,2015,6475,1610612744,400828051,1,3,20,0,"Pullup Jump shot","3PT Field Goal",25,"Toronto Raptors",-209,139,0,0.60,"Carroll, DeMarre",5.80,14.30
"Klay Thompson","Golden State Warriors",2015-11-17,2015,6475,1610612744,400828051,2,7,45,0,"Pullup Jump shot","3PT Field Goal",26,"Toronto Raptors",-176,198,0,0.60,"Carroll, DeMarre",4.00,11.00
"Klay Thompson","Golden State Warriors",2015-11-02,2015,6475,1610612744,400827938,2,3,27,1,"Pullup Jump shot","2PT Field Goal",20,"Memphis Grizzlies",71,188,1,2.00,"Allen, Tony",3.80,10.60
"Shaun Livingston","Golden State Warriors",2015-12-25,2015,2393,1610612744,400828325,1,2,59,1,"Pullup Jump shot","2PT Field Goal",13,"Cleveland Cavaliers",-42,129,3,2.20,"Shumpert, Iman",2.70,17.80
"Klay Thompson","Golden State Warriors",2016-02-20,2015,6475,1610612744,400828709,1,10,38,1,"Pullup Jump shot","2PT Field Goal",13,"Los Angeles Clippers",60,120,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-01-25,2015,3975,1610612744,400828562,3,1,14,1,"Pullup Jump shot","3PT Field Goal",23,"San Antonio Spurs",230,-1,0,0.00,,0.00,0.00
"Draymond Green","Golden State Warriors",2016-04-03,2015,6589,1610612744,400829039,1,10,47,0,"Pullup Jump shot","3PT Field Goal",24,"Portland Trail Blazers",186,160,0,0.00,,0.00,0.00
